Date,Địa danh,Số ca,Buổi
2021-07-16,TP. Hồ Chí Minh,1.071,Trưa
2021-07-16,Đồng Nai,72,Trưa
2021-07-16,Đồng Tháp,66,Trưa
2021-07-16,Khánh Hòa,57,Trưa
2021-07-16,Bình Dương,53,Trưa
2021-07-16,Vĩnh Long,36,Trưa
2021-07-16,Phú Yên,22,Trưa
2021-07-16,Bến Tre,15,Trưa
2021-07-16,Bình Phước,10,Trưa
2021-07-16,Kiên Giang,8,Trưa
2021-07-16,Cần Thơ,8,Trưa
2021-07-16,Hậu Giang,7,Trưa
2021-07-16,Nghệ An,6,Trưa
2021-07-16,Hà Nội,3,Trưa
2021-07-16,Đắk Nông,1,Trưa
2021-07-16,Lạng Sơn,1,Trưa
2021-07-16,An Giang,1,Trưa
2021-07-16,Lâm Đồng,1,Trưa
