Date,Địa Danh,Số ca,Buổi
 2021-10-05,Bắc Ninh,27,Sáng
 2021-10-05,Vĩnh Phúc,19,Sáng
 2021-10-05,Đà Nẵng,13,Sáng
 2021-10-05,Bắc Giang,5,Sáng
 2021-10-05,Hà Nội,9,Sáng
 2021-10-05,Hòa Bình,2,Sáng
 2021-10-05,Đắk Lắk,1,Sáng
 2021-10-05,Điện Biên,1,Sáng
 2021-10-05,Lạng Sơn,1,Sáng
 2021-10-05,Bắc Ninh,27,Trưa
 2021-10-05,Vĩnh Phúc,19,Trưa
 2021-10-05,Đà Nẵng,13,Trưa
 2021-10-05,Bắc Giang,5,Trưa
 2021-10-05,Hà Nội,9,Trưa
 2021-10-05,Hòa Bình,2,Trưa
 2021-10-05,Đắk Lắk,1,Trưa
 2021-10-05,Điện Biên,1,Trưa
 2021-10-05,Lạng Sơn,1,Trưa
 2021-10-05,Hưng Yên,6,Tối
 2021-10-05,Đà Nẵng,4,Tối
 2021-10-05,Bắc Giang,3,Tối
 2021-10-05,Hà Nội,2,Tối
 2021-10-05,Vĩnh Phúc,1,Tối
 2021-11-05,Bệnh viện nhiệt đới Trung ương,1,Sáng
 2021-11-05,Bắc Ninh,13,Sáng
 2021-11-05,Vĩnh Phúc,7,Sáng
 2021-11-05,Bắc Giang,5,Sáng
 2021-11-05,Lạng Sơn,1,Sáng
 2021-11-05,Hải Dương,1,Sáng
 2021-11-05,Bắc Giang,10,Trưa
 2021-11-05,Hà Nội,2,Trưa
 2021-11-05,Quảng Trị,2,Trưa
 2021-11-05,Bắc Ninh,1,Trưa
 2021-11-05,Hải Dương,1,Trưa
 2021-11-05,Bắc Ninh,20,Tối
 2021-11-05,Bắc Giang,2,Tối
 2021-11-05,Hà Nội,2,Tối
 2021-11-05,Thái Bình,2,Tối
 2021-11-05,Thừa thiên Huế,1,Tối
 2021-12-05,Bệnh viện nhiệt đới Trung ương,4,Sáng
 2021-12-05,Vĩnh Phúc,13,Sáng
 2021-12-05,Đà Nẵng,7,Sáng
 2021-12-05,Bắc Giang,6,Sáng
 2021-12-05,Lạng Sơn,1,Sáng
 2021-12-05,Hà Nội,1,Sáng
 2021-12-05,Nam Định,1,Sáng
 2021-12-05,Bệnh viện nhiệt đới Trung ương co? so?? ?o?ng Anh,2,Trưa
 2021-12-05,Bắc Giang,9,Trưa
 2021-12-05,Bắc Ninh,5,Trưa
 2021-12-05,Hà Nam,1,Trưa
 2021-12-05,Thái Bình,1,Trưa
 2021-12-05,Hưng Yên,1,Trưa
 2021-12-05,Hà Nội,7,Tối
