Date,Địa danh,Số ca,Buổi
2021-06-20,TP. Hồ Chí Minh,46,Sáng
2021-06-20,Bắc Giang,20,Sáng
2021-06-20,Bắc Ninh,7,Sáng
2021-06-20,Nghệ An,3,Sáng
2021-06-20,Bắc Giang,53,Trưa
2021-06-20,TP. Hồ Chí Minh,34,Trưa
2021-06-20,Đà Nẵng,18,Trưa
2021-06-20,Bình Dương,13,Trưa
2021-06-20,Bắc Ninh,9,Trưa
2021-06-20,Hà Tĩnh,1,Trưa
2021-06-20,Quảng Nam,1,Trưa
2021-06-20,TP. Hồ Chí Minh,57,Tối
2021-06-20,Bắc Giang,23,Tối
2021-06-20,Đà Nẵng,9,Tối
2021-06-20,Bắc Ninh,3,Tối
2021-06-20,Nghệ An,2,Tối
2021-06-19,TP. Hồ Chí Minh,40,Sáng
2021-06-19,Bắc Ninh,15,Sáng
2021-06-19,Nghệ An,13,Sáng
2021-06-19,Bình Dương,12,Sáng
2021-06-19,Bắc Giang,9,Sáng
2021-06-19,Tiền Giang,3,Sáng
2021-06-19,Hà Tĩnh,1,Sáng
2021-06-19,Đà Nẵng,1,Sáng
2021-06-19,TP. Hồ Chí Minh,64,Trưa
2021-06-19,Bắc Giang,22,Trưa
2021-06-19,Bắc Ninh,14,Trưa
2021-06-19,Long An,3,Trưa
2021-06-19,Hòa Bình,2,Trưa
2021-06-19,Nghệ An,2,Trưa
2021-06-19,Lào Cai,1,Trưa
2021-06-19,Hà Nội,1,Trưa
2021-06-19,TP. Hồ Chí Minh,31,Tối
2021-06-19,Bắc Giang,18,Tối
2021-06-19,Bình Dương,18,Tối
2021-06-19,Bắc Ninh,7,Tối
2021-06-19,Đà Nẵng,5,Tối
2021-06-19,Long An,3,Tối
2021-06-19,Lạng Sơn,2,Tối
2021-06-19,Đồng Nai,2,Tối
2021-06-19,Hà Tĩnh,2,Tối
2021-06-19,Nghệ An,1,Tối
2021-06-19,Nam Định,1,Tối
2021-06-18,TP. Hồ Chí Minh,59,Trưa
2021-06-18,Bắc Giang,36,Trưa
2021-06-18,Bình Dương,12,Trưa
2021-06-18,Bắc Ninh,10,Trưa
2021-06-18,Hòa Bình,1,Trưa
2021-06-18,Lào Cai,1,Trưa
2021-06-18,TP. Hồ Chí Minh,30,Tối
2021-06-18,Bắc Giang,19,Tối
2021-06-18,Bắc Ninh,6,Tối
2021-06-18,Hà Tĩnh,3,Tối
2021-06-18,Hòa Bình,1,Tối
2021-06-17,Bắc Giang,87,Sáng
2021-06-17,TP. Hồ Chí Minh,45,Sáng
2021-06-17,Tiền Giang,11,Sáng
2021-06-17,Bình Dương,7,Sáng
2021-06-17,Bắc Ninh,6,Sáng
2021-06-17,Lạng Sơn,1,Sáng
2021-06-17,Hà Tĩnh,1,Sáng
